Date,Price,Quatity Sold
Aug 19 2021 08: +0,0.48,241
Aug 19 2021 09: +0,0.461,526
Aug 19 2021 10: +0,0.475,322
Aug 19 2021 11: +0,0.47,496
Aug 19 2021 12: +0,0.47,446
Aug 19 2021 13: +0,0.48,511
Aug 19 2021 14: +0,0.47,752
Aug 19 2021 15: +0,0.475,835
Aug 19 2021 16: +0,0.475,878
Aug 19 2021 17: +0,0.495,708
Aug 19 2021 18: +0,0.489,581
Aug 19 2021 19: +0,0.472,540
Aug 19 2021 20: +0,0.465,567
Aug 19 2021 21: +0,0.462,557
Aug 19 2021 22: +0,0.47,446
Aug 19 2021 23: +0,0.468,515
Aug 20 2021 00: +0,0.472,445
Aug 20 2021 01: +0,0.474,389
Aug 20 2021 02: +0,0.48,277
Aug 20 2021 03: +0,0.485,415
Aug 20 2021 04: +0,0.49,523
Aug 20 2021 05: +0,0.495,375
Aug 20 2021 06: +0,0.496,260
Aug 20 2021 07: +0,0.5,449
Aug 20 2021 08: +0,0.49,311
Aug 20 2021 09: +0,0.482,415
Aug 20 2021 10: +0,0.48,437
Aug 20 2021 11: +0,0.491,614
Aug 20 2021 12: +0,0.483,517
Aug 20 2021 13: +0,0.49,543
Aug 20 2021 14: +0,0.498,1046
Aug 20 2021 15: +0,0.5,1081
Aug 20 2021 16: +0,0.485,552
Aug 20 2021 17: +0,0.495,688
Aug 20 2021 18: +0,0.494,589
Aug 20 2021 19: +0,0.479,864
Aug 20 2021 20: +0,0.479,619
Aug 20 2021 21: +0,0.477,582
Aug 20 2021 22: +0,0.484,591
Aug 20 2021 23: +0,0.479,491
Aug 21 2021 00: +0,0.48,232
Aug 21 2021 01: +0,0.483,265
Aug 21 2021 02: +0,0.49,338
Aug 21 2021 03: +0,0.49,318
Aug 21 2021 04: +0,0.5,438
Aug 21 2021 05: +0,0.496,249
Aug 21 2021 06: +0,0.496,257
Aug 21 2021 07: +0,0.499,502
Aug 21 2021 08: +0,0.499,518
Aug 21 2021 09: +0,0.49,357
Aug 21 2021 10: +0,0.479,432
Aug 21 2021 11: +0,0.496,590
Aug 21 2021 12: +0,0.49,488
Aug 21 2021 13: +0,0.482,561
Aug 21 2021 14: +0,0.495,594
Aug 21 2021 15: +0,0.5,727
Aug 21 2021 16: +0,0.49,615
Aug 21 2021 17: +0,0.482,419
Aug 21 2021 18: +0,0.485,792
Aug 21 2021 19: +0,0.49,778
Aug 21 2021 20: +0,0.494,566
Aug 21 2021 21: +0,0.48,500
Aug 21 2021 22: +0,0.48,523
Aug 21 2021 23: +0,0.488,484
Aug 22 2021 00: +0,0.467,431
Aug 22 2021 01: +0,0.49,477
Aug 22 2021 02: +0,0.49,260
Aug 22 2021 03: +0,0.498,312
Aug 22 2021 04: +0,0.494,479
Aug 22 2021 05: +0,0.5,717
Aug 22 2021 06: +0,0.5,496
Aug 22 2021 07: +0,0.5,796
Aug 22 2021 08: +0,0.5,459
Aug 22 2021 09: +0,0.5,518
Aug 22 2021 10: +0,0.5,339
Aug 22 2021 11: +0,0.488,468
Aug 22 2021 12: +0,0.496,532
Aug 22 2021 13: +0,0.492,565
Aug 22 2021 14: +0,0.49,646
Aug 22 2021 15: +0,0.49,800
Aug 22 2021 16: +0,0.496,480
Aug 22 2021 17: +0,0.496,681
Aug 22 2021 18: +0,0.492,702
Aug 22 2021 19: +0,0.5,847
Aug 22 2021 20: +0,0.47,1240
Aug 22 2021 21: +0,0.483,626
Aug 22 2021 22: +0,0.499,732
Aug 22 2021 23: +0,0.497,360
Aug 23 2021 00: +0,0.497,374
Aug 23 2021 01: +0,0.498,436
Aug 23 2021 02: +0,0.51,381
Aug 23 2021 03: +0,0.506,348
Aug 23 2021 04: +0,0.506,207
Aug 23 2021 05: +0,0.507,371
Aug 23 2021 06: +0,0.5,369
Aug 23 2021 07: +0,0.496,242
Aug 23 2021 08: +0,0.499,412
Aug 23 2021 09: +0,0.499,465
Aug 23 2021 10: +0,0.498,409
Aug 23 2021 11: +0,0.489,455
Aug 23 2021 12: +0,0.492,490
Aug 23 2021 13: +0,0.489,454
Aug 23 2021 14: +0,0.499,789
Aug 23 2021 15: +0,0.49,1029
Aug 23 2021 16: +0,0.49,840
Aug 23 2021 17: +0,0.504,956
Aug 23 2021 18: +0,0.502,582
Aug 23 2021 19: +0,0.49,372
Aug 23 2021 20: +0,0.47,557
Aug 23 2021 21: +0,0.48,456
Aug 23 2021 22: +0,0.466,327
Aug 23 2021 23: +0,0.47,311
Aug 24 2021 00: +0,0.498,502
Aug 24 2021 01: +0,0.47,280
Aug 24 2021 02: +0,0.462,250
Aug 24 2021 03: +0,0.5,313
Aug 24 2021 04: +0,0.5,344
Aug 24 2021 05: +0,0.5,427
Aug 24 2021 06: +0,0.499,226
Aug 24 2021 07: +0,0.5,441
Aug 24 2021 08: +0,0.497,304
Aug 24 2021 09: +0,0.5,760
Aug 24 2021 10: +0,0.495,364
Aug 24 2021 11: +0,0.492,380
Aug 24 2021 12: +0,0.5,509
Aug 24 2021 13: +0,0.492,475
Aug 24 2021 14: +0,0.484,612
Aug 24 2021 15: +0,0.469,542
Aug 24 2021 16: +0,0.47,362
Aug 24 2021 17: +0,0.469,784
Aug 24 2021 18: +0,0.479,609
Aug 24 2021 19: +0,0.47,577
Aug 24 2021 20: +0,0.462,385
Aug 24 2021 21: +0,0.457,490
Aug 24 2021 22: +0,0.457,467
Aug 24 2021 23: +0,0.451,716
Aug 25 2021 00: +0,0.459,371
Aug 25 2021 01: +0,0.482,174
Aug 25 2021 02: +0,0.49,178
Aug 25 2021 03: +0,0.49,343
Aug 25 2021 04: +0,0.49,197
Aug 25 2021 05: +0,0.472,222
Aug 25 2021 06: +0,0.482,310
Aug 25 2021 07: +0,0.49,417
Aug 25 2021 08: +0,0.489,575
Aug 25 2021 09: +0,0.479,460
Aug 25 2021 10: +0,0.479,728
Aug 25 2021 11: +0,0.5,661
Aug 25 2021 12: +0,0.498,595
Aug 25 2021 13: +0,0.493,537
Aug 25 2021 14: +0,0.466,555
Aug 25 2021 15: +0,0.478,683
Aug 25 2021 16: +0,0.486,759
Aug 25 2021 17: +0,0.482,840
Aug 25 2021 18: +0,0.487,744
Aug 25 2021 19: +0,0.482,503
Aug 25 2021 20: +0,0.482,559
Aug 25 2021 21: +0,0.481,408
Aug 25 2021 22: +0,0.486,391
Aug 25 2021 23: +0,0.481,263
Aug 26 2021 00: +0,0.48,294
Aug 26 2021 01: +0,0.496,341
Aug 26 2021 02: +0,0.494,287
Aug 26 2021 03: +0,0.496,352
Aug 26 2021 04: +0,0.49,274
Aug 26 2021 05: +0,0.49,208
Aug 26 2021 06: +0,0.49,220
Aug 26 2021 07: +0,0.49,350
Aug 26 2021 08: +0,0.464,151
Aug 26 2021 09: +0,0.47,196
Aug 26 2021 10: +0,0.481,664
