Date,Price,Quantity Sold
Jun 03 2019 01: +0,0.03,37982
Jun 04 2019 01: +0,0.03,37863
Jun 05 2019 01: +0,0.03,41526
Jun 06 2019 01: +0,0.03,41032
Jun 07 2019 01: +0,0.03,41869
Jun 08 2019 01: +0,0.03,43393
Jun 09 2019 01: +0,0.03,42501
Jun 10 2019 01: +0,0.03,41504
Jun 11 2019 01: +0,0.03,46110
Jun 12 2019 01: +0,0.03,40245
Jun 13 2019 01: +0,0.03,40204
Jun 14 2019 01: +0,0.03,46313
Jun 15 2019 01: +0,0.03,46829
Jun 16 2019 01: +0,0.03,42984
Jun 17 2019 01: +0,0.03,39620
Jun 18 2019 01: +0,0.03,39575
Jun 19 2019 01: +0,0.03,40045
Jun 20 2019 01: +0,0.03,45805
Jun 21 2019 01: +0,0.03,46604
Jun 22 2019 01: +0,0.03,47138
Jun 23 2019 01: +0,0.03,48763
Jun 24 2019 01: +0,0.03,39336
Jun 25 2019 01: +0,0.03,57169
Jun 26 2019 01: +0,0.03,54298
Jun 27 2019 01: +0,0.03,58152
Jun 28 2019 01: +0,0.03,46700
Jun 29 2019 01: +0,0.03,47005
Jun 30 2019 01: +0,0.03,46753
Jul 01 2019 01: +0,0.03,42644
Jul 02 2019 01: +0,0.03,47292
Jul 03 2019 01: +0,0.03,47010
Jul 04 2019 01: +0,0.03,42891
Jul 05 2019 01: +0,0.03,42206
Jul 06 2019 01: +0,0.03,45369
Jul 07 2019 01: +0,0.03,41105
Jul 08 2019 01: +0,0.03,40002
Jul 09 2019 01: +0,0.03,44594
Jul 10 2019 01: +0,0.03,43254
Jul 11 2019 01: +0,0.03,43681
Jul 12 2019 01: +0,0.03,43736
Jul 13 2019 01: +0,0.03,42097
Jul 14 2019 01: +0,0.03,52110
Jul 15 2019 01: +0,0.03,42055
Jul 16 2019 01: +0,0.03,50767
Jul 17 2019 01: +0,0.03,49280
Jul 18 2019 01: +0,0.03,48714
Jul 19 2019 01: +0,0.03,54457
Jul 20 2019 01: +0,0.03,49556
Jul 21 2019 01: +0,0.03,52156
Jul 22 2019 01: +0,0.03,44069
Jul 23 2019 01: +0,0.03,50675
Jul 24 2019 01: +0,0.03,44970
Jul 25 2019 01: +0,0.03,56545
Jul 26 2019 01: +0,0.03,55373
Jul 27 2019 01: +0,0.03,45448
Jul 28 2019 01: +0,0.03,46606
Jul 29 2019 01: +0,0.03,49803
Jul 30 2019 01: +0,0.03,46394
Jul 31 2019 01: +0,0.03,63006
Aug 01 2019 01: +0,0.03,59781
Aug 02 2019 01: +0,0.03,55808
Aug 03 2019 01: +0,0.03,54604
Aug 04 2019 01: +0,0.03,78578
Aug 05 2019 01: +0,0.03,69894
Aug 06 2019 01: +0,0.03,70263
Aug 07 2019 01: +0,0.03,64838
Aug 08 2019 01: +0,0.03,73454
Aug 09 2019 01: +0,0.03,78180
Aug 10 2019 01: +0,0.03,85068
Aug 11 2019 01: +0,0.03,190308
Aug 12 2019 01: +0,0.03,136511
Aug 13 2019 01: +0,0.03,120920
Aug 14 2019 01: +0,0.03,84619
Aug 15 2019 01: +0,0.03,63414
Aug 16 2019 01: +0,0.03,82041
Aug 17 2019 01: +0,0.03,69112
Aug 18 2019 01: +0,0.03,80775
Aug 19 2019 01: +0,0.03,67260
Aug 20 2019 01: +0,0.03,68000
Aug 21 2019 01: +0,0.03,73186
Aug 22 2019 01: +0,0.03,76557
Aug 23 2019 01: +0,0.03,93145
Aug 24 2019 01: +0,0.03,85443
Aug 25 2019 01: +0,0.03,81684
Aug 26 2019 01: +0,0.03,79504
Aug 27 2019 01: +0,0.03,84579
Aug 28 2019 01: +0,0.03,60451
Aug 29 2019 01: +0,0.03,74829
Aug 30 2019 01: +0,0.03,86312
Aug 31 2019 01: +0,0.03,91335
Sep 01 2019 01: +0,0.03,99321
Sep 02 2019 01: +0,0.03,88541
Sep 03 2019 01: +0,0.032,91426
Sep 04 2019 01: +0,0.035,95904
Sep 05 2019 01: +0,0.039,88474
Sep 06 2019 01: +0,0.044,105938
Sep 07 2019 01: +0,0.047,126890
Sep 08 2019 01: +0,0.039,125457
Sep 09 2019 01: +0,0.038,97702
Sep 10 2019 01: +0,0.04,97994
Sep 11 2019 01: +0,0.046,102415
Sep 12 2019 01: +0,0.048,95291
Sep 13 2019 01: +0,0.049,108235
Sep 14 2019 01: +0,0.049,123528
Sep 15 2019 01: +0,0.048,113418
Sep 16 2019 01: +0,0.046,84913
Sep 17 2019 01: +0,0.043,87836
Sep 18 2019 01: +0,0.046,91987
Sep 19 2019 01: +0,0.049,89435
Sep 20 2019 01: +0,0.051,98285
Sep 21 2019 01: +0,0.05,109862
Sep 22 2019 01: +0,0.05,106841
Sep 23 2019 01: +0,0.053,85311
Sep 24 2019 01: +0,0.052,80833
Sep 25 2019 01: +0,0.055,97851
Sep 26 2019 01: +0,0.066,97023
Sep 27 2019 01: +0,0.074,99942
